"Kod portu 
";Data przybycia (rrrr-mm-dd);"Godzina przybycia
(hh:mm)";"Kod portu, 
z którego jednostka przyp³ynê³a ";Nazwa statku;Bandera;nr IMO ;Sygna³ wywo³awczy;"Pojemnoœæ brutto 
(tony)";D³ugoœæ (metry);Agent;Nabrze¿e (miejsce zacumowania)
PLDAR;2005-03-05;08:00:00;LVLPX;ADRIANE;DENMARK;7001364;OUXX6;1371;69.83;Morska Agencja Szczecin Ltd.;Wêglowe
PLDAR;2005-04-28;07:00:00;PLSZZ;RIGINA;SAINT VINCENT & THE GRENADINES;5388005;J8GQ;792;59.57;Morska Agencja Gdynia Ltd. Agency Dept ;Gdyñskie
PLDAR;2005-04-29;11:30:00;PLSZZ;JOSEFINE;FINLAND;8521696;OJKU;852;64.34;Morska Agencja Gdynia Ltd. Agency Dept ;Szczeciñskie
PLDAR;2005-05-05;07:45:00;DKODE;ADRIANE;DENMARK;7001364;OUXX6;1371;69.83;Morska Agencja Szczecin Ltd.;brak
PLDAR;2005-05-07;21:00:00;LTKLJ;JESSICA;FINLAND;7618258;OJIB;703;60.08;VOLKMAR BAUME POLAND;BRAK DANYCH
PLDAR;2005-05-13;07:00:00;DKRKB;ELF;Cook Islands;7343372;JVDD2;507;42.47;Matuszczak;Szczeciñskie
PLDAR;2005-05-19;07:00:00;DKHOR;ELF;MONGOLIA;7343372;JVDD2;507;42.47;Baltic Shipping Agency Ltd.;SZCZECIÑSKIE
PLDAR;2005-05-21;12:00:00;SEGUN;NATHALIE;Finland;8906224;OJLP;852;64.20;Baltic Shipping Agency Ltd.;SZCZECIÑSKIE
PLDAR;2005-05-27;18:30:00;SEHAD;LARGO II;HONDURAS;7312529;HQEW7;531;49.71;Rhein Maas - R.M.S.;Szczeciñskie
PLDAR;2005-05-28;07:00:00;PLDAR;ILKA;GERMANY;8504947;DIZZ;1366;71.81;Morska Agencja Gdynia Ltd. Agency Dept ;Szczeciñskie
PLDAR;2005-05-31;16:30:00;NOLRI;JOSEFINE;FINLAND;8521696;OJKU;852;64.34;VOLKMAR BAUME POLAND;Szczeciñskie
PLDAR;2005-06-03;07:00:00;SENRK;NATHALIE;NETHERLANDS;8906224;DJLP;852;64.20;VOLKMAR BAUME;SZCZECIÑSKIE
PLDAR;2005-06-08;07:00:00;FIRAU;REBECCA;FINLAND;8201600;OJIK;664;58.32;VOLKMAR BAUME;SZCZECIÑSKIE
PLDAR;2005-06-08;07:00:00;DEHUS;ILKA;GERMANY;8504947;DIZZ;1366;71.81;"""VIKING"" K.Kozie³, M.Balicki, G.Tomczyk";SZCZECINSKA
PLDAR;2005-06-13;07:00:00;EEROO;JESSICA;FINLAND;7618258;OJIB;703;60.08;VOLKMAR BAUME Poland;Szczeciñskie
PLDAR;2005-06-15;16:45:00;FIRAU;JOSEFINE;FINLAND;8521696;OJKU;852;64.34;VOLKMAR BAUME Poland;SZCZECIÑSKIE
