"Kod portu 
";Data przybycia (rrrr-mm-dd);"Godzina przybycia
(hh:mm)";"Kod portu, 
z którego jednostka przyp³ynê³a ";Nazwa statku;Bandera;nr IMO ;Sygna³ wywo³awczy;"Pojemnoœæ brutto 
(tony)";D³ugoœæ (metry);Agent;Nabrze¿e (miejsce zacumowania)
PLKOL;2005-01-07;16:25:00;DKAAR;WILLEKE;NETHERLANDS;8214968;PIPK;998;79.90;Morska Agencja Szczecin Ltd.;WÊGLOWE
PLKOL;2005-01-12;13:00:00;NLRTM;CLARITY;SAINT VINCENT & THE GRENADINES;8012815;J8B2780;986;69.88;POLSTEAM SHIPPING AGENCY Ltd.;ZBO¯OWE
PLKOL;2005-01-23;20:00:00;DEHUS;ANTJE;NETHERLANDS;8319964;PDTK;998;78.87;Morska Agencja Szczecin Ltd.;Wêglowe
PLKOL;2005-01-26;20:00:00;DEREN;BRAKE;TUVALU;5225904;T2ND;603;57.50;Baltic Shipping Agency Ltd.;ZBO¯OWE
PLKOL;2005-01-27;18:30:00;SENRK;NORDICA;SWEDEN;7524017;SDGB;1155;67.01;RENTRANS CARGO Sp. z o.o.;WÊGLOWE
PLKOL;2005-02-04;21:30:00;NOBGO;ULRIKEN;PANAMA;7230185;HP9570;1470;78.49;Morska Agencja Szczecin Ltd.;Wêglowe
PLKOL;2005-02-05;01:30:00;NLRTM;LIFANA;NETHERLANDS;8315449;PFOC;1116;79.28;POLSTEAM SHIPPING AGENCY Ltd.;Zbo¿owe
PLKOL;2005-02-15;09:56:00;LTKLJ;KATRINE KROG;Denmark;6922779;OXKC6;1055;64.62;Morska Agencja Gdynia Sp. z o.o.;Wêglowe
PLKOL;2005-02-20;18:05:00;LVRIX;BLUEBIRD;SAINT VINCENT & THE GRENADINES;8027391;J8SK4;1115;67.00;Ahlmann-Zerssen Sp. z o.o.;WÊGLOWE
PLKOL;2005-02-24;08:00:00;PLSZZ;VEENTRANS;NETHERLANDS;8411633;PIZK;1132;79.30;Morska Agencja Szczecin Ltd.;WÊGLOWE
