"Kod portu 
";Data przybycia (rrrr-mm-dd);"Godzina przybycia
(hh:mm)";"Kod portu, 
z którego jednostka przyp³ynê³a ";Nazwa statku;Bandera;nr IMO ;Sygna³ wywo³awczy;"Pojemnoœæ brutto 
(tony)";D³ugoœæ (metry);Agent;Nabrze¿e (miejsce zacumowania)
PLNOW;12.06.2007;06:00:00;SEMMA;ASIAN DYNASTY;Philippines;9203588;DYCU;55719;199.98;Morska Agencja Gdynia Ltd. Harbour Office Gdañsk ;OLIWSKIE
PLNOW;25.07.2007;13:15:00;PLPLC;ROS;Panama;7725685;HPVW;11676;158.60;POLSTEAM SHIPPING AGENCY Gdynia;Nab. OPP
PLNOW;26.07.2007;07:40:00;LVRIX;BLUE SKY;Netherlands;9195767;PBLE;2545;88.60;POLSTEAM SHIPPING AGENCY Gdynia;Wiœlane, Elewator 2
PLNOW;29.07.2007;23:10:00;MACAS;IRMA;Cyprus;9180396;P3SA8;21387;199.90;POLSTEAM SHIPPING AGENCY Gdynia;Nab. Chemików
PLNOW;30.07.2007;15:20:00;NLRTM;ISADORA;Cyprus;9180372;P3LA8;21387;199.90;POLSTEAM SHIPPING AGENCY Gdynia;GSR
PLNOW;31.07.2007;02:30:00;GBSHS;POLARSTREAM;Liberia;9189885;A8IO6;11417;154.00;TERMAR;GSR
PLNOW;31.07.2007;23:30:00;BEGNE;PEWSUM;Antigua and Barbuda;9001930;V2NJ;1960;88.32;POLSTEAM SHIPPING AGENCY Gdynia;nab. Zbo¿owe, Elewator 3/4
PLNOW;31.07.2007;11:40:00;MACAS;ROLNIK;Panama;7361544;H9FG;9117;145.62;POLSTEAM SHIPPING AGENCY Gdynia;Nab. Chemików
PLNOW;01.08.2007;05:15:00;PLGDY;APOLLO BEAR;Antigua and Barbuda;9014937;V2CA8;2797;88.25;DRAPOL-TRADING SP. Z O. O.;NB. RUDOWE
PLNOW;01.08.2007;16:55:00;LVLPX;AGENOR;Netherlands;9201970;PBJC;2080;88.95;DRAPOL-TRADING SP. Z O. O.;NB WIŒLANE
PLNOW;01.08.2007;19:45:00;PLSZZ;PASSAAT;Netherlands;9080687;PIHW;1937;82.40;POLSTEAM SHIPPING AGENCY Gdynia;nab. Oliwskie
PLNOW;01.08.2007;20:00:00;GBGSA;UPHUSEN;Antigua and Barbuda;9115937;V2AN1;2846;89.00;POSEIDON & FRACHTCONTOR JUNGE;
PLNOW;03.08.2007;18:30:00;GBIOG;YEOMAN BRIDGE;Bahamas;8912302;C6JY9;55696;249.90;POSEIDON & FRACHTCONTOR JUNGE;Rudowe
PLNOW;03.08.2007;11:40:00;MACAS;ROLNIK;Panama;7361544;H9FG;9117;145.62;POLSTEAM SHIPPING AGENCY Gdynia;Nab. Chemików
PLNOW;05.08.2007;09:00:00;DEKEL;WAPPEN VON HAMBURG;United Kingdom;9255799;VQUM2;5145;116.90;POSEIDON & FRACHTCONTOR JUNGE;OPP
PLNOW;05.08.2007;21:18:00;FIPRV;CORAL CARBONIC;Netherlands;9201906;PCFW;1852;79.55;Mar-Yard Ltd. Shipbrokers, Husbandry Agents ;BYTOMSKIE
PLNOW;06.08.2007;08:00:00;PLKOL;IRMTEST;Poland;1234576;ZZZZX;1234;123.00;test-IRM;
PLNOW;06.08.2007;14:00:00;DETRV;MERCHANT;United Kingdom;8020604;MCMF3;20594;155.00;MAR-SERVICE;Gdansk roads
PLNOW;06.08.2007;00:25:00;PLSZZ;ALMA;Antigua and Barbuda;8420660;V2UD;2730;98.30;POLSTEAM SHIPPING AGENCY Gdynia;Wislane
PLNOW;07.08.2007;10:30:00;NOSRP;FILIA ANTJE;Netherlands;9340300;PHBC;2186;89.99;DRAPOL-TRADING SP. Z O. O.;NB. PIÊCIU GWIZDKÓW
PLNOW;08.08.2007;15:00:00;FITKU;MERCHANT;United Kingdom;8020604;MCMF3;20594;155.00;MAR-SERVICE;
PLNOW;08.08.2007;18:00:00;PLGDY;ASCENSION;United States;8912857;WBAS;3972;97.80;Pol-Mare Sp. z o. o.;nab.Rudowe
PLNOW;08.08.2007;17:15:00;LTKLJ;JONGLEUR;Antigua and Barbuda;8420660;V2UD;1999;98.30;POLSTEAM SHIPPING AGENCY Gdynia;Elewator 3/4
PLNOW;09.08.2007;23:30:00;FIKVH;METALLICA;Gibraltar;8806151;ZDGS9;3826;104.85;Balta SA;NAB WÊGLOWE
