Kod portu;Data przybycia;Godzina przybycia;Kod portu, z którego jednostka przyp³ynê³a;Nazwa statku;Bandera;nr IMO;Sygna³ wywo³awczy;Pojemnoœæ brutto;D³ugoœæ;Agent;Nabrze¿e (miejsce zacumowania)
PLPLC;2008-01-02;11:10:00;TNSFA;OKSYWIE;Liberia;8502547;A8DS8;21460;195.27;POLSTEAM SHIPPING AGENCY Ltd.;Police Port Morski
PLPLC;2008-01-03;20:00:00;LTKLJ;SORMOVSKIY 53;Russian Federation;8628133;UAKX;2466;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-01-05;11:50:00;LVVNT;VOLGOBALT-204;Russian Federation;8230326;UHPC;2457;113.90;KOSIOR SHIPPING COMPANY Sp. z o.o.;Port Barkowy
PLPLC;2008-01-07;10:40:00;NLDZL;DINTELBORG;Netherlands;9163685;PEAA;6205;133.00;DAN SHIPPING & TRADING Co. Ltd. ;PORT MORSKI POLICE
PLPLC;2008-01-07;00:25:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;POlice Port Barkowy
PLPLC;2008-01-08;16:45:00;SYTTS;SOTIRIA;Malta;7718242;9HIJ4;13677;164.33;INTERAGENT Sp. z o.o.;POLICE PORT MORSKI
PLPLC;2008-01-08;11:55:00;LVVNT;OMSKIY 140;Russian Federation;8867052;U A N X;2470;108.36;KOSIOR SHIPPING COMPANY Sp. z o.o.;police port barkowy
PLPLC;2008-01-12;16:35:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-01-12;09:10:00;PLGDY;GLOBAL HELIOS;Antigua and Barbuda;9349980;V2CZ7;5164;119.95;KOSIOR SHIPPING COMPANY Sp. z o.o.;Police port Morski
PLPLC;2008-01-13;09:00:00;PLSZZ;PORONIEC;Poland;7641475;SQHS;695;60.00;Ship-Service S.A.;CAL
PLPLC;2008-01-14;00:45:00;MACAS;PILICA;Malta;9154282;9HAKS6;11848;149.40;POLSTEAM SHIPPING AGENCY Ltd.;police m
PLPLC;2008-01-14;23:50:00;BEANR;ANCORA;Saint Vincent and the Grenadines;8012827;J8B2705;1010;69.90;NEPTUNE AGENCY Sp. z o.o. ;POLICE BARKOWY
PLPLC;2008-01-18;11:20:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-01-18;17:30:00;DKAAB;VOLGOBALT 244;Russian Federation;8230584;UAKW;2457;114.00;DAN SHIPPING & TRADING Co. Ltd. ;PM POLICE
PLPLC;2008-01-22;14:40:00;TNSFA;ISOLDA;Cyprus;9180360;P3JE8;21387;199.90;POLSTEAM SHIPPING AGENCY Ltd.;port morski -Police
PLPLC;2008-01-23;10:20:00;PLSZZ;PORONIEC;Poland;7641475;SQHS;695;60.00;Ship-Service S.A.;PPM
PLPLC;2008-01-23;23:55:00;PLSWI;PORONIEC;Poland;7641475;SQHS;695;60.00;Ship-Service S.A.;PPM
PLPLC;2008-01-24;06:00:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-01-25;20:45:00;PLSZZ;LADOGA 3;Belize;7304560;V3WP5;1511;81.00;DAN SHIPPING & TRADING Co. Ltd. ;PORT MORSKI
PLPLC;2008-01-25;18:30:00;MACAS;WADAG II;Panama;7725714;HPVT;11632;158.58;POLSTEAM SHIPPING AGENCY Ltd.;Police M.
PLPLC;2008-01-25;16:15:00;NOSOK;EOS;Norway;7528154;LAOJ4;3963;101.95;NEPTUNE AGENCY Sp. z o.o. ;MIJANKA
PLPLC;2008-01-29;21:20:00;MACAS;GARDNO;Panama;7725726;HPSL;11632;158.60;POLSTEAM SHIPPING AGENCY Ltd.;Police M.
PLPLC;2008-01-30;18:10:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-01-31;00:30:00;SEKOG;BW HELEN;Norway;9207039;LANH5;5818;116.00;DAN SHIPPING & TRADING Co. Ltd. ;POLICE MIJANKA
PLPLC;2008-02-03;06:42:00;FIKOK;KEMIRA GAS;Belgium;9045807;ONCC;10018;143.12;DAN SHIPPING & TRADING Co. Ltd. ;mijanka
