"Kod portu 
";Data przybycia (rrrr-mm-dd);"Godzina przybycia
(hh:mm)";"Kod portu, 
z którego jednostka przyp³ynê³a ";Nazwa statku;Bandera;nr IMO ;Sygna³ wywo³awczy;"Pojemnoœæ brutto 
(tony)";D³ugoœæ (metry);Agent;Nabrze¿e (miejsce zacumowania)
PLUST;14.01.2005;10:00:00;PLGDY;LEOPARD;Slovakia;6819697;OMOG;274;33.33;UMS;NAB.KAPITANATU
PLUST;15.03.2005;15:20:00;PLGDY;IRBIS;POLAND;5184980;SPG2490;134;28.00;IMCL Poland Sp. z o.o.;STOCZNIOWE
PLUST;30.06.2005;14:45:00;NOOSL;IRBIS;POLAND;5184980;SPG2490;134;28.00;B+B Shipping & Trading Services Ltd. B.O. Gdynia ;STOCZNIOWE
PLUST;16.02.2007;07:30:00;PLGDY;IKAR;Poland;6519302;SPG2521;171;29.98;test-IRM;Nab.Stocznia Ustka
PLUST;29.03.2007;13:15:00;LTKLJ;JOLANDA;ANTIGUA & BARBUDA;5298107;V2PH5;499;57.84;Oktan Energy & V/L Service;PIRS STOCZNI USTKA
PLUST;05.09.2007;10:00:00;PLGDY;IKAR;Poland;6519302;SPG 2521;171;29.97;JAN STÊPNIEWSKI I SKA Sp. z o. o.;NSB.STOCZNI USTKA
PLUST;27.09.2007;19:00:00;NLDOR;IRBIS;Poland;5184980;SPG 2490;134;28.15;JAN STÊPNIEWSKI I SKA Sp. z o. o.;NAB:Stoczni Ustka
PLUST;09.01.2008;08:30:00;PLGDY;IKAR;Poland;6519302;SPG2521;171;29.97;JAN STÊPNIEWSKI I SKA Sp. z o. o.;ALU STOCZNIA USTKA
PLUST;12.03.2008;07:00:00;PLSWI;OCEANIA;Poland;NIE DOT;SQOC;370;48.90;POLSTEAM SHIPPING AGENCY Gdañsk;HYDRO-NAVAL
PLUST;14.03.2008;07:30:00;PL888;SATURN;Denmark;6604690;OUHO2;627;53.60;BALT-T Agency Sp. z o.o.;PUCKIE
PLUST;09.05.2008;19:20:00;LTKLJ;LARGO II;Honduras;7312529;HQEW-7;531;49.75;BALT-T Agency Sp. z o.o.;NAB. STOCZNIA USTKA 20:20
PLUST;28.12.2008;08:45:00;PLGDY;BARBARA D;Poland;8033431;SPG3102;409;57.41; Morska Agencja Gdynia Sp. z o.o.;HELSKIE
PLUST;01.07.2009;15:10:00;SETRG;WOJTEK;Poland;5184980;SPG2490;134;28.15;COMAL SP Z O. O.;nab. MKJ Ustka
PLUST;06.07.2009;11:00:00;PLGDY;LADY ASSA;Poland;7016474;SPNB;935;68.56;¯EGLUGA GDAÑSKA SP. ZO.O.;NAB. KO£OBRZESKIE
PLUST;11.07.2009;12:00:00;PLNOW;JAREK;Poland;7020970;SPG2070;111;25.46;COMAL SP Z O. O.;MKJ Stocznia Ustka
PLUST;27.07.2009;21:25:00;DKNEX;LADY ASSA;Poland;7016474;SPNB;935;68.57;Zegluga Gdanska sp. z o. o.;Nabrze¿e
PLUST;22.07.2009;06:15:00;PLNOW;WOJTEK;Poland;5184980;SPG2490;134;28.15;COMAL SP Z O. O.;nab. MKJ Ustka
PLUST;04.08.2009;21:25:00;DKNEX;LADY ASSA;Poland;7016474;SPNB;935;68.57;Zegluga Gdanska sp. z o. o.;Nabrze¿e
PLUST;11.08.2009;21:25:00;DKNEX;LADY ASSA;Poland;7016474;SPNB;935;68.57;Zegluga Gdanska sp. z o. o.;Nabrze¿e
PLUST;25.08.2009;21:25:00;DKNEX;LADY ASSA;Poland;7016474;SPNB;935;68.57;Zegluga Gdanska sp. z o. o.;Nabrze¿e
PLUST;27.08.2009;10:30:00;PLGDY;JAREK;Poland;7020970;SPG2070;111;25.46;COMAL SP Z O. O.;MKJ Ustka
PLUST;13.01.2010;10:00:00;LTKLJ;TOM;Latvia;8847167;YL2494;182;27.64;POSEIDON & FRACHTCONTOR JUNGE;USTKA
PLUST;10.02.2010;06:00:00;PLNOW;WOJTEK;Poland;5184980;SPG2490;134;28.15;COMAL SP Z O. O.;nab. Ostrowica III
PLUST;21.02.2010;17:35:00;NLDOR;WOJTEK;Poland;5184980;SPG2490;134;28.15;COMAL SP Z O. O.;MKJ Ustka
PLUST;30.03.2010;06:45:00;PLNOW;WOJTEK;Poland;5184980;SPG2490;134;28.15;COMAL SP Z O. O.;MKJ Ustka
PLUST;27.05.2010;07:30:00;PLNOW;WOJTEK;Poland;5184980;SPG2490;134;28.15;COMAL SP Z O. O.;MKJ Ustka
PLUST;04.07.2010;11:55:00;PLDAR;LADY ASSA;Poland;7016474;SPNB;935;68.57;Zegluga Gdanska sp. z o. o.;nabrze¿e 
PLUST;06.07.2010;21:25:00;DKNEX;LADY ASSA;Poland;7016474;SPNB;935;68.57;Zegluga Gdanska sp. z o. o.;nabrze¿e
PLUST;11.07.2010;12:00:00;PLDAR;LADY ASSA;Poland;7016474;SPNB;935;68.57;Zegluga Gdanska sp. z o. o.;terminal odpraw
PLUST;13.07.2010;21:25:00;DKNEX;LADY ASSA;Poland;7016474;SPNB;935;68.57;Zegluga Gdanska sp. z o. o.;nabrze¿e
PLUST;19.07.2010;10:50:00;PLDAR;LADY ASSA;Poland;7016474;SPNB;935;68.57;Zegluga Gdanska sp. z o. o.;nabrze¿e
PLUST;20.07.2010;21:25:00;DKNEX;LADY ASSA;Poland;7016474;SPNB;935;68.57;Zegluga Gdanska sp. z o. o.;nabrzeze Ko³obrzeskie
PLUST;26.07.2010;10:30:00;PLDAR;LADY ASSA;Poland;7016474;SPNB;935;68.57;Zegluga Gdanska sp. z o. o.;przy nabrze¿u
PLUST;27.07.2010;21:25:00;DKNEX;LADY ASSA;Poland;7016474;SPNB;935;68.57;Zegluga Gdanska sp. z o. o.;Nabrze¿e Ko³obrzeskie
PLUST;01.08.2010;12:00:00;PLDAR;LADY ASSA;Poland;7016474;SPNB;935;68.57;Zegluga Gdanska sp. z o. o.;nabrzeze ko³obrzeskie
PLUST;03.08.2010;21:25:00;DKNEX;LADY ASSA;Poland;7011647;SPNB;935;68.57;Zegluga Gdanska sp. z o. o.;Nabrze¿e Ko³obrzeskie
PLUST;08.08.2010;12:00:00;PLDAR;LADY ASSA;Poland;7016474;SPNB;935;68.57;Zegluga Gdanska sp. z o. o.;Nabrzeze Ko³obrzeskie
PLUST;10.08.2010;21:25:00;DKNEX;LADY ASSA;Poland;7016474;SPNB;935;68.57;Zegluga Gdanska sp. z o. o.;Nabrze¿e Ko³obrzeskie
PLUST;15.08.2010;14:00:00;PLDAR;LADY ASSA;Poland;7016474;SPNB;935;68.57;Zegluga Gdanska sp. z o. o.;nabrzeze ko³obrzeskie
PLUST;17.08.2010;21:25:00;DKNEX;LADY ASSA;Poland;7016474;SPNB;935;68.57;Zegluga Gdanska sp. z o. o.;nabrze¿e ko³obrzeskie
PLUST;22.08.2010;12:00:00;PLDAR;LADY ASSA;Poland;7016474;SPNB;935;68.57;Zegluga Gdanska sp. z o. o.;Nabrze¿e Ko³obrzeskie
PLUST;04.12.2010;13:00:00;PLGDY;KRONOS;Poland;6614891;SQFJ;181;28.50;Morska Agencja Gdynia Ltd. Harbour Office Gdynia;ST. USTKA
PLUST;14.03.2011;09:50:00;PLGDY;KRONOS;Poland;6614891;SQFJ;183;28.57;OLD SEAS SP. Z O. O.;ST. USTKA
PLUST;12.06.2011;09:00:00;PLGDY;KRONOS;Poland;6614891;SQFJ;183;28.57;OLD SEAS SP. Z O. O.;ST. USTKA
PLUST;24.08.2011;09:00:00;PLGDY;KRONOS;Poland;6614891;SQFJ;183;28.57;OLD SEAS SP. Z O. O.;ST. USTKA
PLUST;31.10.2011;11:15:00;DEFLF;KRONOS;Poland;6614891;SQFJ;183;28.57;OLD SEAS SP. Z O. O.;ST. USTKA
PLUST;25.01.2012;09:00:00;PLGDY;KRONOS;Poland;6614891;SQFJ;183;28.57;OLD SEAS SP. Z O. O.;ST. USTKA
PLUST;26.04.2012;09:30:00;PLGDY;HERAKLES;Poland;6614853;SQFK;183;28.60;OLD SEAS SP. Z O. O.;ST. USTKA
PLUST;18.05.2012;11:40:00;PLGDY;KRONOS;Poland;6614891;SQFJ;183;28.57;OLD SEAS SP. Z O. O.;ST. USTKA
PLUST;20.08.2012;08:00:00;PLGDY;HERAKLES;Poland;6614853;SQFK;183;28.60;OLD SEAS SP. Z O. O.;ST. USTKA
